group,names,scores,logfoldchanges,pvals,pvals_adj
CD4+ T cells,LTB,24.788563,,1.1909575223900327e-135,4.39225134257444e-133
CD4+ T cells,IL32,22.55871,,1.102899189069653e-112,2.5421826308055502e-110
CD4+ T cells,CD2,15.571526,,1.1366299511442505e-54,8.061329345807685e-53
CD4+ T cells,HINT1,14.815719,,1.1594217535653774e-49,6.8966893986276e-48
CD4+ T cells,GIMAP7,14.167364,,1.4587316304042362e-45,7.685431789901176e-44
CD4+ T cells,AQP3,11.810045,,3.4637538321178735e-32,1.4853865270756649e-30
CD4+ T cells,GIMAP5,11.611413,,3.606072013673525e-31,1.4776881762697732e-29
CD4+ T cells,MAL,11.069101,,1.771678712721133e-28,6.533951092515537e-27
CD4+ T cells,TRAF3IP3,10.661458,,1.54160947733033e-26,5.363637502258733e-25
CD4+ T cells,FYB,9.965772,,2.1519662853597588e-23,7.086117553934635e-22
CD4+ T cells,ACAP1,9.796046,,1.1707914654612577e-22,3.787613091772911e-21
CD4+ T cells,GIMAP4,8.190895,,2.592911993309935e-16,6.549766733785645e-15
CD4+ T cells,LDLRAP1,8.179107,,2.85956247242731e-16,7.125720539399946e-15
CD4+ T cells,SRSF5,8.019862,,1.0586362910810582e-15,2.5685859483598304e-14
CD4+ T cells,SELL,7.31782,,2.520312578266555e-13,5.2812004480949174e-12
CD4+ T cells,ITM2A,7.1648035,,7.789825654651588e-13,1.528131756082716e-11
CD4+ T cells,TRABD2A,6.458943,,1.0543698111860907e-10,1.8694787806030304e-09
CD4+ T cells,PTPRCAP,6.44513,,1.1550137830215864e-10,2.0092881281998163e-09
CD4+ T cells,CD247,5.324707,,1.0111595132883758e-07,1.503692050406262e-06
CD4+ T cells,STK17A,4.9372063,,7.924966265209116e-07,1.0987697588756098e-05
CD4+ T cells,GPR183,4.8651443,,1.1437347620851434e-06,1.573915597973884e-05
CD4+ T cells,PASK,4.8616843,,1.1639105656026725e-06,1.5898156170157985e-05
